CSFF: Chemical Python Simplified Force Field by Warren L. DeLano
A  1.008         0.161               H bonded to nitrogen atoms
D2 12.01         0.360               nitrile C (Howard et al.JDJ,16,243,1995)
D3 12.01         0.360               sp2 C atom in the middle of: C=D3-D3=C
D4 12.01         0.878               sp3 aliphatic C
DA 12.01         0.360               sp2 C pure aromatic (benzene)
DJ 12.01         0.616  !            sp2 C carbonyl group
J1 14.01         0.530               nitrile N (Howard et al.JDJ,16,243,1995)
J3 14.01         0.530               sp2 N in 5 memb.ring w/H atom (HIS)
J4 14.01         0.530               sp3 N for charged amino groups (Lys, etc)
JA 14.01         0.530               sp2 nitrogen in amide groups
JN 14.01         0.530               sp2 negatively charge
Q1 16.00         0.434               carbonyl group oxygen
Q2 16.00         0.465               oxygen in TIP3P water
QN 16.00         0.434               carboxyl and phosphate group oxygen
R1 19.00         0.320               fluorine
R2 35.45         1.910               chlorine  (Applequist)
R3 79.90         2.880               bromine  (Applequist)
R4 126.9         4.690               iodine   (Applequist)
T2 32.06         2.900               S in disulfide linkage,pol:JPC,102,2399,98
T4 32.06         2.900               S in sulfate, sulfonamide (WLD)
TA 32.06         2.900               sulphur in benzothiazole ring
QA 16.00         0.434               delocalized, cationic oxygen
T1 32.06         2.900               Thiocarbonyl

A   J1  J2  J3  J4  JN Q1  Q2  QN
A -A   553.0    1.5136      TIP3P water
A -D2  400.0    1.056       Howard et al JDJ,16,243,1995
A -D3  367.0    1.080       combination of 4
A -D4  340.0    1.090       combination of 5
A -DA  367.0    1.079       combination of 10
A -DJ  367.0    1.080       combination of 2
A -J3  434.0    1.010       combination of 4
A -J4  434.0    1.010       combination of 2
A -Q2  553.0    0.959       combination of 3
A -T2  274.0    1.336       JDJ,7,(1986),230; D2S
D2-D2  534.5    1.197       combination of 2
D2-D4  372.3    1.464       combination of 3
D2-DA  448.5    1.433       combination of 2
D2-J1  600.0    1.150       Howard et al JDJ,16,243,1995
D3-D3  522.3    1.367       combination of 3
D3-D4  317.0    1.510       combination of 2
D3-DA  427.0    1.433       JDJ,7,(1986),230; D2T
